01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
2003,Alemanha,,,,,x,
2003,Áustria,,,,,,2.9
2003,Bélgica,,,,,,6.0
2003,Bulgária,,,,,x,
2003,Chéquia,,,,,x,
2003,Chipre,,,,,x,
2003,Croácia,,,,,x,
2003,Dinamarca,,,,,,10.5
2003,Eslováquia,,,,,x,
2003,Eslovénia,,,,,x,
2003,Espanha,,,,,x,
2003,Estónia,,,,,x,
2003,Finlândia,,,,,x,
2003,França,,,,,x,
2003,Grécia,,,,,,17.4
2003,Hungria,,,,,x,
2003,Irlanda,,,,,,3.2
2003,Itália,,,,,x,
2003,Letónia,,,,,x,
2003,Lituânia,,,,,x,
2003,Luxemburgo,,,,,,1.1
2003,Malta,,,,,x,
2003,Países Baixos,,,,,x,
2003,Polónia,,,,,x,
2003,Portugal,,,,,x,
2003,Roménia,,,,,x,
2003,Suécia,,,,,x,
2004,Alemanha,,,,,x,
2004,Áustria,,,,,,2.3
2004,Bélgica,,,,,,6.4
2004,Bulgária,,,,,x,
2004,Chéquia,,,,,x,
2004,Chipre,,,,,x,
2004,Croácia,,,,,x,
2004,Dinamarca,,,,,,10.1
2004,Eslováquia,,,,,x,
2004,Eslovénia,,,,,x,
2004,Espanha,,,,,,9.5
2004,Estónia,,,,,,5.8
2004,Finlândia,,,,,,3.3
2004,França,,,,,,5.9
2004,Grécia,,,,,,16.8
2004,Hungria,,,,,x,
2004,Irlanda,,,,,,3.3
2004,Itália,,,,,,10.9
2004,Letónia,,,,,x,
2004,Lituânia,,,,,x,
2004,Luxemburgo,,,,,,0.7
2004,Malta,,,,,x,
2004,Países Baixos,,,,,x,
2004,Polónia,,,,,x,
2004,Portugal,,,,,,36.3
2004,Roménia,,,,,x,
2004,Suécia,,,,,,1.6
2005,Alemanha,,,,,,4.6
2005,Áustria,,,,,,3.2
2005,Bélgica,,,,,,14.1
2005,Bulgária,,,,,,69.5
2005,Chéquia,,,,,,9.3
2005,Chipre,,,,,,33.7
2005,Croácia,,,,,x,
2005,Dinamarca,,,,,,8.9
2005,Eslováquia,,,,,,13.6
2005,Eslovénia,,,,,,2.6
2005,Espanha,,,,,,9.4
2005,Estónia,,,,,,2.6
2005,Finlândia,,,,,,2.6
2005,França,,,,,,5.3
2005,Grécia,,,,,,15.7
2005,Hungria,,,,,,17.7
2005,Irlanda,,,,,,4.0
2005,Itália,,,,,,11.0
2005,Letónia,,,,,,29.8
2005,Lituânia,,,,,,34.8
2005,Luxemburgo,,,,,,0.9
2005,Malta,,,,,,12.6
2005,Países Baixos,,,,,,3.1
2005,Polónia,,,,,,33.6
2005,Portugal,,,,,,40.0
2005,Roménia,,,,,x,
2005,Suécia,,,,,,1.4
2006,Alemanha,,,,,,5.5
2006,Áustria,,,,,,3.8
2006,Bélgica,,,,,,14.5
2006,Bulgária,,,,,,69.5
2006,Chéquia,,,,,,8.9
2006,Chipre,,,,,,33.8
2006,Croácia,,,,,x,
2006,Dinamarca,,,,,,9.4
2006,Eslováquia,,,,,,9.7
2006,Eslovénia,,,,,,3.0
2006,Espanha,,,,,,10.1
2006,Estónia,,,,,,2.3
2006,Finlândia,,,,,,2.4
2006,França,,,,,,5.9
2006,Grécia,,,,,,12.0
2006,Hungria,,,,,,14.8
2006,Irlanda,,,,,,3.8
2006,Itália,,,,,,10.4
2006,Letónia,,,,,,25.7
2006,Lituânia,,,,,,27.6
2006,Luxemburgo,,,,,,0.6
2006,Malta,,,,,,10.8
2006,Países Baixos,,,,,,2.2
2006,Polónia,,,,,,28.4
2006,Portugal,,,,,,39.9
2006,Roménia,,,,,x,
2006,Suécia,,,,,,2.5
2007,Alemanha,,,,,,5.4
2007,Áustria,,,,,,2.6
2007,Bélgica,,,,,,14.6
2007,Bulgária,,,,,,67.4
2007,Chéquia,,,,,,6.1
2007,Chipre,,,,,,34.6
2007,Croácia,,,,,x,
2007,Dinamarca,,,,,,10.3
2007,Eslováquia,,,,,,4.6
2007,Eslovénia,,,,,,4.2
2007,Espanha,,,,,,8.0
2007,Estónia,,,,,,3.6
2007,Finlândia,,,,,,1.1
2007,França,,,,,,4.6
2007,Grécia,,,,,,13.8
2007,Hungria,,,,,,10.8
2007,Irlanda,,,,,,3.5
2007,Itália,,,,,,10.7
2007,Letónia,,,,,,20.9
2007,Lituânia,,,,,,22.4
2007,Luxemburgo,,,,,,0.5
2007,Malta,,,,,,10.2
2007,Países Baixos,,,,,,1.6
2007,Polónia,,,,,,22.7
2007,Portugal,,,,,,41.9
2007,Roménia,,,,,,33.3
2007,Suécia,,,,,,1.8
2008,Alemanha,,,,,,5.9
2008,Áustria,,,,,Quebra de série,3.9
2008,Bélgica,,,,,,6.4
2008,Bulgária,,,,,,66.3
2008,Chéquia,,,,,,6.0
2008,Chipre,,,,,Quebra de série,29.2
2008,Croácia,,,,,x,
2008,Dinamarca,,,,,,1.7
2008,Eslováquia,,,,,,6.0
2008,Eslovénia,,,,,,5.6
2008,Espanha,,,,,,5.9
2008,Estónia,,,,,,1.1
2008,Finlândia,,,,,,1.9
2008,França,,,,,,5.3
2008,Grécia,,,,,,15.4
2008,Hungria,,,,,,9.7
2008,Irlanda,,,,,,3.7
2008,Itália,,,,,,11.4
2008,Letónia,,,,,,16.8
2008,Lituânia,,,,,,22.6
2008,Luxemburgo,,,,,,0.9
2008,Malta,,,,,,8.8
2008,Países Baixos,,,,,,1.8
2008,Polónia,,,,,Quebra de série,20.1
2008,Portugal,,,,,,34.9
2008,Roménia,,,,,,24.4
2008,Suécia,,,,,Quebra de série,1.6
2009,Alemanha,,,,,,5.5
2009,Áustria,,,,,,2.9
2009,Bélgica,,,,,,5.1
2009,Bulgária,,,,,,64.2
2009,Chéquia,,,,,,5.2
2009,Chipre,,,,,,21.7
2009,Croácia,,,,,x,
2009,Dinamarca,,,,,,1.5
2009,Eslováquia,,,,,,3.6
2009,Eslovénia,,,,,,4.6
2009,Espanha,,,,,Quebra de série,7.2
2009,Estónia,,,,,,1.7
2009,Finlândia,,,,,,1.3
2009,França,,,,,,5.5
2009,Grécia,,,,,,15.7
2009,Hungria,,,,,,8.9
2009,Irlanda,,,,,,4.1
2009,Itália,,,,,,10.8
2009,Letónia,,,,,,16.4
2009,Lituânia,,,,,,24.1
2009,Luxemburgo,,,,,,0.3
2009,Malta,,,,,,11.1
2009,Países Baixos,,,,,,1.3
2009,Polónia,,,,,,16.3
2009,Portugal,,,,,,28.5
2009,Roménia,,,,,,22.1
2009,Suécia,,,,,,1.7
2010,Alemanha,,,,,,5.0
2010,Áustria,,,,,,3.8
2010,Bélgica,,,,,,5.6
2010,Bulgária,,,,,,66.5
2010,Chéquia,,,,,,5.2
2010,Chipre,,,,,,27.3
2010,Croácia,,,,,,8.3
2010,Dinamarca,,,,,,1.9
2010,Eslováquia,,,,,,4.4
2010,Eslovénia,,,,,,4.7
2010,Espanha,,,,,,7.5
2010,Estónia,,,,,,3.1
2010,Finlândia,,,,,,1.4
2010,França,,,,,,5.7
2010,Grécia,,,,,,15.4
2010,Hungria,,,,,,10.7
2010,Irlanda,,,,,,6.8
2010,Itália,,,,,,11.6
2010,Letónia,,,,,,19.1
2010,Lituânia,,,,,,25.2
2010,Luxemburgo,,,,,,0.5
2010,Malta,,,,,,14.3
2010,Países Baixos,,,,,,2.3
2010,Polónia,,,,,,14.8
2010,Portugal,,,,,,30.1
2010,Roménia,,,,,,20.1
2010,Suécia,,,,,,2.1
2011,Alemanha,,,,,,5.2
2011,Áustria,,,,,,2.7
2011,Bélgica,,,,,,7.1
2011,Bulgária,,,,,,46.3
2011,Chéquia,,,,,,6.4
2011,Chipre,,,,,,26.6
2011,Croácia,,,,,,9.8
2011,Dinamarca,,,,,,2.3
2011,Eslováquia,,,,,,4.3
2011,Eslovénia,,,,,,5.4
2011,Espanha,,,,,,6.5
2011,Estónia,,,,,,3.0
2011,Finlândia,,,,,,1.8
2011,França,,,,,,6.0
2011,Grécia,,,,,,18.6
2011,Hungria,,,,,,12.2
2011,Irlanda,,,,,,6.8
2011,Itália,,,,,,17.8
2011,Letónia,,,,,,22.5
2011,Lituânia,,,,,,36.2
2011,Luxemburgo,,,,,,0.9
2011,Malta,,,,,,17.6
2011,Países Baixos,,,,,,1.6
2011,Polónia,,,,,,13.6
2011,Portugal,,,,,,26.8
2011,Roménia,,,,,,15.6
2011,Suécia,,,,,,1.9
2012,Alemanha,,,,,,4.7
2012,Áustria,,,,,,3.2
2012,Bélgica,,,,,,6.6
2012,Bulgária,,,,,,46.5
2012,Chéquia,,,,,,6.7
2012,Chipre,,,,,,30.7
2012,Croácia,,,,,,10.2
2012,Dinamarca,,,,,,2.5
2012,Eslováquia,,,,,,5.5
2012,Eslovénia,,,,,,6.1
2012,Espanha,,,,,,9.1
2012,Estónia,,,,,,4.2
2012,Finlândia,,,,,,1.5
2012,França,,,,,,6.0
2012,Grécia,,,,,,26.1
2012,Hungria,,,,,,15.0
2012,Irlanda,,,,,,8.4
2012,Itália,,,,,,21.3
2012,Letónia,,,,,,19.9
2012,Lituânia,,,,,,34.1
2012,Luxemburgo,,,,,,0.6
2012,Malta,,,,,,22.1
2012,Países Baixos,,,,,,2.2
2012,Polónia,,,,,,13.2
2012,Portugal,,,,,,27.0
2012,Roménia,,,,,,15.0
2012,Suécia,,,,,,1.7
2013,Alemanha,,,,,,5.3
2013,Áustria,,,,,,2.7
2013,Bélgica,,,,,,5.8
2013,Bulgária,,,,,,44.9
2013,Chéquia,,,,,,6.2
2013,Chipre,,,,,,30.5
2013,Croácia,,,,,,9.9
2013,Dinamarca,,,,,,3.8
2013,Eslováquia,,,,,,5.4
2013,Eslovénia,,,,,,4.9
2013,Espanha,,,,,,8.0
2013,Estónia,,,,,,2.9
2013,Finlândia,,,,,,1.2
2013,França,,,,,,6.6
2013,Grécia,,,,,,29.5
2013,Hungria,,,,,,14.6
2013,Irlanda,,,,,,10.0
2013,Itália,,,,,,18.8
2013,Letónia,,,,,,21.1
2013,Lituânia,,,,,,29.2
2013,Luxemburgo,,,,,,1.6
2013,Malta,,,,,,23.9
2013,Países Baixos,,,,,,2.9
2013,Polónia,,,,,,11.4
2013,Portugal,,,,,,27.9
2013,Roménia,,,,,,14.7
2013,Suécia,,,,,,0.9
2014,Alemanha,,,,,,4.9
2014,Áustria,,,,,,3.2
2014,Bélgica,,,,,,5.4
2014,Bulgária,,,,,Quebra de série,40.5
2014,Chéquia,,,,,,6.1
2014,Chipre,,,,,,27.5
2014,Croácia,,,,,,9.7
2014,Dinamarca,,,,,,2.9
2014,Eslováquia,,,,,,6.1
2014,Eslovénia,,,,,,5.6
2014,Espanha,,,,,,11.1
2014,Estónia,,,,,Quebra de série,1.7
2014,Finlândia,,,,,,1.5
2014,França,,,,,,5.9
2014,Grécia,,,,,,32.9
2014,Hungria,,,,,,11.6
2014,Irlanda,,,,,,8.9
2014,Itália,,,,,,18.0
2014,Letónia,,,,,,16.8
2014,Lituânia,,,,,,26.5
2014,Luxemburgo,,,,,,0.6
2014,Malta,,,,,,22.3
2014,Países Baixos,,,,,,2.6
2014,Polónia,,,,,,9.0
2014,Portugal,,,,,,28.3
2014,Roménia,,,,,,12.9
2014,Suécia,,,,,,1.1
2015,Alemanha,,,,,,4.1
2015,Áustria,,,,,,2.6
2015,Bélgica,,,,,,5.2
2015,Bulgária,,,,,,39.2
2015,Chéquia,,,,,,5.0
2015,Chipre,,,,,,28.3
2015,Croácia,,,,,,9.9
2015,Dinamarca,,,,,,3.6
2015,Eslováquia,,,,,,5.8
2015,Eslovénia,,,,,,5.6
2015,Espanha,,,,,,10.6
2015,Estónia,,,,,,2.0
2015,Finlândia,,,,,,1.7
2015,França,,,,,,5.5
2015,Grécia,,,,,,29.2
2015,Hungria,,,,,,9.6
2015,Irlanda,,,,,,9.0
2015,Itália,,,,,,17.0
2015,Letónia,,,,,,14.5
2015,Lituânia,,,,,,31.1
2015,Luxemburgo,,,,,,0.9
2015,Malta,,,,,,14.1
2015,Países Baixos,,,,,,2.9
2015,Polónia,,,,,,7.5
2015,Portugal,,,,,,23.8
2015,Roménia,,,,,,13.1
2015,Suécia,,,,,,1.2
2016,Alemanha,,,,,,3.7
2016,Áustria,,,,,,2.7
2016,Bélgica,,,,,,4.8
2016,Bulgária,,,,,Quebra de série,39.2
2016,Chéquia,,,,,,3.8
2016,Chipre,,,,,,24.3
2016,Croácia,,,,,,9.3
2016,Dinamarca,,,,,,2.7
2016,Eslováquia,,,,,,5.1
2016,Eslovénia,,,,,,4.8
2016,Espanha,,,,,,10.1
2016,Estónia,,,,,,2.7
2016,Finlândia,,,,,,1.7
2016,França,,,,,,5.0
2016,Grécia,,,,,,29.1
2016,Hungria,,,,,,9.2
2016,Irlanda,,,,,,5.9
2016,Itália,,,,,,16.1
2016,Letónia,,,,,,10.6
2016,Lituânia,,,,,,29.3
2016,Luxemburgo,,,,,Quebra de série,1.7
2016,Malta,,,,,,6.6
2016,Países Baixos,,,,,Quebra de série,2.6
2016,Polónia,,,,,,7.1
2016,Portugal,,,,,,22.5
2016,Roménia,,,,,,13.8
2016,Suécia,,,,,,2.6
2017,Alemanha,,,,,,3.3
2017,Áustria,,,,,,2.4
2017,Bélgica,,,,,,5.8
2017,Bulgária,,,,,,36.5
2017,Chéquia,,,,,,3.1
2017,Chipre,,,,,,22.9
2017,Croácia,,,,,,7.4
2017,Dinamarca,,,,,,2.7
2017,Eslováquia,,,,,,4.3
2017,Eslovénia,,,,,,3.9
2017,Espanha,,,,,,8.0
2017,Estónia,,,,,,2.9
2017,Finlândia,,,,,,2.0
2017,França,,,,,,4.9
2017,Grécia,,,,,,25.7
2017,Hungria,,,,,,6.8
2017,Irlanda,,,,,,4.4
2017,Itália,,,,,,15.2
2017,Letónia,,,,,,9.7
2017,Lituânia,,,,,,28.9
2017,Luxemburgo,,,,,,1.9
2017,Malta,,,,,,6.3
2017,Países Baixos,,,,,,2.4
2017,Polónia,,,,,,6.0
2017,Portugal,,,,,,20.4
2017,Roménia,,,,,,11.3
2017,Suécia,,,,,,2.1
2018,Alemanha,,,,,,2.7
2018,Áustria,,,,,,1.6
2018,Bélgica,,,,,,5.2
2018,Bulgária,,,,,,33.7
2018,Chéquia,,,,,,2.7
2018,Chipre,,,,,,21.9
2018,Croácia,,,,,,7.7
2018,Dinamarca,,,,,,3.0
2018,Eslováquia,,,,,,4.8
2018,Eslovénia,,,,,,3.3
2018,Espanha,,,,,,9.1
2018,Estónia,,,,,,2.3
2018,Finlândia,,,,,,1.7
2018,França,,,,,,5.0
2018,Grécia,,,,,,22.7
2018,Hungria,,,,,,6.1
2018,Irlanda,,,,,,4.4
2018,Itália,,,,,,14.1
2018,Letónia,,,,,,7.5
2018,Lituânia,,,,,,27.9
2018,Luxemburgo,,,,,,2.1
2018,Malta,,,,,,7.6
2018,Países Baixos,,,,,,2.2
2018,Polónia,,,,,,5.1
2018,Portugal,,,,,,19.4
2018,Roménia,,,,,,9.6
2018,Suécia,,,,,,2.3
2019,Alemanha,,,,,,2.5
2019,Áustria,,,,,,1.8
2019,Bélgica,,,,,Quebra de série,3.9
2019,Bulgária,,,,,,30.1
2019,Chéquia,,,,,,2.8
2019,Chipre,,,,,,20.6
2019,Croácia,,,,,,6.6
2019,Dinamarca,,,,,,2.8
2019,Eslováquia,,,,,,7.8
2019,Eslovénia,,,,,,2.3
2019,Espanha,,,,,,7.5
2019,Estónia,,,,,,2.5
2019,Finlândia,,,,,,1.8
2019,França,,,,,,6.2
2019,Grécia,,,,,,17.9
2019,Hungria,,,,,,5.4
2019,Irlanda,,,,,Quebra de série,5.1
2019,Itália,,,,,,11.1
2019,Letónia,,,,,,8.0
2019,Lituânia,,,,,,26.7
2019,Luxemburgo,,,,,,2.4
2019,Malta,,,,,,7.8
2019,Países Baixos,,,,,,3.0
2019,Polónia,,,,,,4.2
2019,Portugal,,,,,,18.9
2019,Roménia,,,,,,9.3
2019,Suécia,,,,,,1.9
2020,Alemanha,,,,,Quebra de série,7.0
2020,Áustria,,,,,,1.5
2020,Bélgica,,,,,,4.2
2020,Bulgária,,,,,,27.5
2020,Chéquia,,,,,,2.2
